תאריך,שעה,סוג,בסיס,פקיעה,פתיחה%,נעילה,יומי%,מחזור,עסקאות,נקודות,אחוז
10.12.2024,9:59:28,W,"2,362.28","2,358.84",0.15%,"2,352.48",0.41%,44.7,"1,876",27.85,1.19%
8.12.2024,9:59:15,W,"2,321.78","2,330.99",0.40%,"2,343.90",0.95%,49.6,"1,373",4.48,0.19%
5.12.2024,9:59:29,W,"2,322.66","2,326.51",0.17%,"2,321.78",0.04%,72.6,"1,984",41.13,1.80%
3.12.2024,9:59:21,W,"2,292.70","2,285.38",0.32%,"2,315.52",1.00%,71.4,"1,617",19.19,0.85%
1.12.2024,9:59:30,W,"2,260.49","2,266.19",0.25%,"2,294.71",1.51%,86.7,"1,917",5.16,0.23%
28.11.2024,9:59:34,M,"2,276.81","2,261.03",0.69%,"2,260.49",0.72%,"2,477.80","4,638",16.35,0.72%
26.11.2024,9:59:02,W,"2,281.21","2,277.38",0.17%,"2,303.39",0.97%,69.4,"1,771",14.83,0.66%
24.11.2024,9:59:02,W,"2,260.15","2,262.55",0.11%,"2,283.22",1.02%,50.3,"1,474",25.75,1.15%
21.11.2024,9:59:33,W,"2,252.81","2,236.80",0.71%,"2,260.15",0.33%,130.1,"2,828",31.29,1.38%
19.11.2024,9:59:01,W,"2,252.10","2,268.09",0.71%,"2,259.59",0.33%,105.2,"2,105",27.27,1.22%
17.11.2024,9:59:22,W,"2,267.59","2,240.82",1.18%,"2,268.54",0.04%,86.2,"2,272",48.87,2.13%
14.11.2024,9:59:14,W,"2,303.11","2,289.69",0.58%,"2,267.59",1.54%,98.3,"2,399",21.98,0.97%
12.11.2024,9:59:13,W,"2,276.03","2,267.71",0.37%,"2,297.86",0.96%,93,"1,912",15.81,0.70%
10.11.2024,10:06:10,W,"2,229.99","2,251.90",0.98%,"2,288.06",2.60%,92.9,"2,125",28.58,1.29%
7.11.2024,9:59:19,W,"2,223.75","2,223.32",0.02%,"2,229.99",0.28%,69.8,"1,846",11.94,0.54%
5.11.2024,9:59:52,W,"2,207.83","2,211.38",0.16%,"2,218.62",0.49%,46.8,"1,473",10.48,0.48%
3.11.2024,9:59:46,W,"2,203.97","2,200.90",0.14%,"2,204.33",0.02%,97.5,"1,962",7.22,0.33%
31.10.2024,9:59:07,W,"2,218.90","2,208.12",0.49%,"2,203.97",0.67%,136.4,"2,102",41.71,1.93%
29.10.2024,9:59:27,W,"2,174.24","2,166.41",0.36%,"2,189.86",0.72%,101.1,"2,648",18.88,0.86%
27.10.2024,9:59:47,W,"2,155.40","2,185.29",1.39%,"2,170.55",0.70%,82.6,"2,339",10.47,0.48%
22.10.2024,9:59:33,M,"2,177.09","2,174.82",0.10%,"2,155.40",1.00%,447.2,"2,758",26.03,1.21%
20.10.2024,10:07:46,W,"2,137.71","2,148.79",0.52%,"2,180.67",2.01%,123.8,"3,015",11.91,0.56%
15.10.2024,9:59:52,W,"2,126.75","2,136.88",0.48%,"2,137.71",0.52%,42.3,"1,340",24.91,1.18%
13.10.2024,9:59:09,W,"2,093.55","2,111.97",0.88%,"2,110.39",0.80%,36,"1,335",12.66,0.60%
10.10.2024,9:59:43,W,"2,113.46","2,124.63",0.53%,"2,093.55",0.94%,107.2,"2,004",31.65,1.51%
8.10.2024,9:59:38,W,"2,093.07","2,092.98",0.00%,"2,098.39",0.25%,60,"1,658",3.99,0.19%
6.10.2024,9:59:21,W,"2,093.48","2,096.97",0.17%,"2,088.68",0.23%,83.4,"1,855",30.49,1.43%
1.10.2024,9:59:12,W,"2,123.64","2,127.46",0.18%,"2,093.48",1.42%,111.5,"1,931",13.27,0.63%
29.9.2024,9:59:43,W,"2,095.76","2,114.19",0.88%,"2,117.18",1.02%,127.5,"2,017",8.66,0.41%
26.9.2024,9:59:32,M,"2,067.88","2,105.53",1.82%,"2,095.76",1.35%,"1,833.80","4,613",68.22,3.35%
24.9.2024,9:59:02,W,"2,029.18","2,037.31",0.40%,"2,048.79",0.97%,62.4,"1,501",51.54,2.60%
22.9.2024,9:59:18,W,"1,997.92","1,985.77",0.61%,"2,013.52",0.78%,67.9,"1,753",27.92,1.39%
19.9.2024,9:59:53,W,"2,002.35","2,013.69",0.57%,"1,997.92",0.22%,122,"2,109",7.69,0.38%
17.9.2024,9:59:32,W,"2,019.21","2,006.00",0.65%,"1,998.14",1.04%,150.7,"1,873",58,2.81%
15.9.2024,9:59:08,W,"2,054.46","2,064.00",0.46%,"2,047.86",0.32%,22.6,"1,253",4.17,0.20%
12.9.2024,9:59:53,W,"2,033.00","2,059.83",1.32%,"2,054.46",1.06%,69.3,"1,854",29.95,1.48%
10.9.2024,9:59:02,W,"2,035.21","2,029.88",0.26%,"2,030.61",0.23%,46.7,"1,206",11.63,0.57%
8.9.2024,9:59:13,W,"2,071.92","2,041.51",1.47%,"2,039.69",1.56%,50.1,"1,095",9.24,0.45%
5.9.2024,9:59:24,W,"2,047.63","2,050.75",0.15%,"2,071.92",1.19%,69.2,"1,467",41.26,1.97%
3.9.2024,9:59:00,W,"2,091.77","2,092.01",0.01%,"2,061.52",1.45%,46.2,"1,171",0.88,0.04%
1.9.2024,9:59:17,W,"2,093.08","2,092.89",0.01%,"2,074.74",0.88%,57.3,"1,592",9.28,0.45%
29.8.2024,9:59:51,M,"2,090.31","2,083.61",0.32%,"2,093.08",0.13%,"1,190.30","2,701",4.63,0.22%
27.8.2024,9:59:33,W,"2,078.17","2,088.24",0.48%,"2,077.81",0.02%,82.1,"1,502",29.94,1.45%
25.8.2024,9:59:49,W,"2,051.21","2,058.30",0.35%,"2,091.61",1.97%,50.3,"1,473",14.38,0.70%
22.8.2024,9:59:04,W,"2,045.64","2,043.92",0.08%,"2,051.21",0.27%,86.2,"1,269",26.16,1.26%
20.8.2024,9:59:41,W,"2,056.79","2,070.08",0.65%,"2,060.25",0.17%,73.5,"1,668",2.89,0.14%
18.8.2024,9:59:22,W,"2,055.12","2,072.97",0.87%,"2,065.73",0.52%,49.2,"1,278",46.2,2.28%
15.8.2024,9:59:03,W,"2,022.20","2,026.77",0.23%,"2,055.12",1.63%,97.1,"1,952",26.13,1.31%
12.8.2024,9:59:00,W,"2,012.30","2,000.64",0.58%,"1,986.66",1.27%,32.8,"1,380",28.07,1.38%
11.8.2024,10:06:19,W,"2,005.93","2,028.71",1.14%,"2,012.30",0.32%,106.7,"1,971",60.05,3.05%
8.8.2024,9:59:44,W,"1,978.18","1,968.66",0.48%,"2,005.93",1.40%,117.7,"2,199",20.23,1.04%
6.8.2024,9:59:19,W,"1,916.13","1,948.43",1.69%,"1,948.35",1.68%,123.3,"1,859",16.86,0.87%
4.8.2024,10:07:05,W,"1,983.51","1,931.57",2.62%,"1,933.92",2.50%,128.6,"2,230",75.22,3.75%
1.8.2024,9:59:56,W,"2,011.77","2,006.79",0.25%,"1,983.51",1.40%,192,"1,988",11.03,0.55%
30.7.2024,9:59:39,W,"2,021.05","2,017.82",0.16%,"2,005.23",0.78%,185.3,"2,528",7.79,0.38%
28.7.2024,9:59:31,W,"2,050.07","2,025.61",1.19%,"2,003.93",2.25%,115.4,"1,782",15.94,0.78%
25.7.2024,9:59:07,M,"2,058.53","2,041.55",0.82%,"2,050.07",0.41%,"1,126.80","3,043",2,0.10%
23.7.2024,9:59:25,W,"2,041.68","2,043.55",0.09%,"2,068.41",1.31%,66.7,"1,943",34.74,1.73%
21.7.2024,9:59:30,W,"2,044.09","2,008.81",1.73%,"2,028.66",0.75%,52.4,"1,783",42.93,2.09%
18.7.2024,9:59:22,W,"2,060.96","2,051.74",0.45%,"2,044.09",0.82%,50.7,"1,833",13.54,0.66%
16.7.2024,9:59:30,W,"2,076.77","2,065.28",0.55%,"2,076.01",0.04%,90.6,"1,750",3.1,0.15%
14.7.2024,9:59:19,W,"2,069.73","2,062.18",0.36%,"2,071.76",0.10%,50.8,"1,493",6.56,0.32%
11.7.2024,9:59:14,W,"2,040.79","2,068.74",1.37%,"2,069.73",1.42%,112.6,"2,308",31.04,1.52%
9.7.2024,9:59:02,W,"2,046.51","2,037.70",0.43%,"2,053.96",0.36%,81.5,"1,509",4.05,0.20%
7.7.2024,9:59:09,W,"2,017.40","2,041.75",1.21%,"2,063.29",2.27%,116.8,"2,381",35.37,1.76%
4.7.2024,9:59:29,W,"1,996.24","2,006.38",0.51%,"2,017.40",1.06%,118.2,"2,485",46.83,2.39%
2.7.2024,9:59:23,W,"1,972.28","1,959.55",0.65%,"1,983.12",0.55%,78,"2,344",21.54,1.09%
30.6.2024,9:59:13,W,"1,976.43","1,981.09",0.24%,"1,984.89",0.43%,224,"1,853",8.94,0.45%
27.6.2024,9:59:00,M,"1,990.30","1,972.15",0.91%,"1,976.43",0.70%,"1,267.20","3,321",24.86,1.28%
25.6.2024,9:59:26,W,"1,954.94","1,947.29",0.39%,"1,969.13",0.73%,36.9,"1,356",21.03,1.07%
23.6.2024,9:59:02,W,"1,968.64","1,968.32",0.02%,"1,964.47",0.21%,53.9,"1,788",37.84,1.89%
20.6.2024,10:06:54,W,"2,003.81","2,006.16",0.12%,"1,968.64",1.76%,69,"1,663",9.43,0.47%
18.6.2024,9:59:50,W,"2,002.56","2,015.59",0.65%,"2,000.67",0.09%,67.3,"2,043",15.92,0.80%
16.6.2024,9:59:44,W,"1,987.86","1,999.67",0.59%,"1,974.57",0.67%,61.1,"2,079",10.31,0.52%
13.6.2024,9:59:50,W,"1,978.63","1,989.36",0.54%,"1,987.86",0.47%,69.1,"2,218",27.87,1.42%
10.6.2024,9:59:00,W,"1,973.35","1,961.49",0.60%,"1,978.63",0.27%,50.9,"1,833",15.54,0.79%
9.6.2024,9:59:33,W,"1,965.87","1,977.03",0.57%,"1,973.35",0.38%,101.2,"1,582",11.43,0.58%
6.6.2024,9:59:09,W,"1,980.04","1,965.60",0.73%,"1,965.87",0.72%,109.8,"2,515",48.46,2.41%
4.6.2024,9:59:41,W,"2,019.41","2,014.06",0.26%,"2,008.26",0.55%,77.1,"1,988",10.11,0.50%
2.6.2024,9:59:56,W,"1,999.93","2,024.17",1.21%,"1,996.91",0.15%,104.1,"2,235",41.88,2.11%
30.5.2024,9:59:38,M,"2,000.67","1,982.29",0.92%,"1,999.93",0.04%,"1,344.60","3,167",0.2,0.01%
28.5.2024,9:59:27,W,"1,978.92","1,982.09",0.16%,"1,995.64",0.84%,75.1,"1,964",2.85,0.14%
26.5.2024,9:59:25,W,"1,973.52","1,979.24",0.29%,"1,978.39",0.25%,48.2,"1,715",2.12,0.11%
23.5.2024,9:59:40,W,"1,971.22","1,981.36",0.51%,"1,973.52",0.12%,68.4,"1,623",14.6,0.73%
21.5.2024,9:59:53,W,"1,980.63","1,995.96",0.77%,"1,974.40",0.31%,98,"1,758",10.59,0.53%
19.5.2024,9:59:37,W,"1,982.53","1,985.37",0.14%,"1,959.54",1.16%,89.7,"1,618",27.59,1.37%
16.5.2024,9:59:28,W,"2,015.35","2,012.96",0.12%,"1,982.53",1.63%,139.1,"1,911",4.18,0.21%
12.5.2024,9:59:24,W,"2,003.53","2,017.14",0.68%,"2,013.57",0.50%,65.4,"1,584",29.6,1.49%
9.5.2024,9:59:34,W,"1,984.05","1,987.54",0.18%,"2,003.53",0.98%,100,"2,386",26.23,1.34%
7.5.2024,9:59:34,W,"1,944.15","1,961.31",0.88%,"1,971.84",1.42%,161.6,"2,149",2.25,0.11%
5.5.2024,9:59:48,W,"1,939.48","1,963.56",1.24%,"1,946.96",0.39%,105.2,"1,999",21.95,1.13%
2.5.2024,9:59:45,W,"1,930.63","1,941.61",0.57%,"1,939.48",0.46%,119.6,"2,080",13.78,0.70%
30.4.2024,9:59:27,W,"1,924.76","1,955.39",1.59%,"1,950.12",1.32%,96.2,"1,916",18.3,0.94%
25.4.2024,9:59:22,M,"1,937.95","1,937.09",0.04%,"1,924.76",0.68%,931.1,"3,930",14.1,0.73%
21.4.2024,10:05:12,W,"1,912.45","1,922.99",0.55%,"1,933.92",1.12%,112.8,"2,401",21.06,1.11%
18.4.2024,9:59:53,W,"1,888.01","1,901.93",0.74%,"1,912.45",1.29%,79.8,"1,817",10.77,0.57%
16.4.2024,9:59:15,W,"1,914.43","1,891.16",1.22%,"1,907.67",0.35%,95.9,"2,307",43.98,2.27%
14.4.2024,9:59:54,W,"1,933.05","1,935.14",0.11%,"1,938.18",0.27%,94.4,"2,147",12.87,0.66%
11.4.2024,9:59:49,W,"1,965.37","1,948.01",0.88%,"1,933.05",1.64%,88.5,"1,619",36.72,1.85%
9.4.2024,9:59:39,W,"2,000.87","1,984.73",0.81%,"1,979.78",1.05%,151.5,"2,145",32.71,1.68%
7.4.2024,9:59:21,W,"1,941.70","1,952.02",0.53%,"1,968.34",1.37%,41.8,"1,224",5.09,0.26%
4.4.2024,9:59:13,W,"1,975.77","1,957.11",0.94%,"1,941.70",1.72%,246.2,"3,025",39.77,1.99%
2.4.2024,9:59:22,W,"2,006.10","1,996.88",0.46%,"1,972.17",1.69%,86.4,"1,551",16.5,0.82%
31.3.2024,9:59:10,W,"1,998.25","2,013.38",0.76%,"2,010.41",0.61%,205.7,"1,659",9.38,0.46%
28.3.2024,9:59:54,M,"1,998.73","2,022.76",1.20%,"1,998.25",0.02%,"1,024.60","5,462",27,1.35%
26.3.2024,9:59:00,W,"1,998.40","1,995.76",0.13%,"2,005.29",0.34%,126,"1,853",2.95,0.15%
21.3.2024,9:59:48,W,"1,962.38","1,992.81",1.55%,"1,979.46",0.87%,170.3,"3,598",56.32,2.91%
19.3.2024,9:59:26,W,"1,928.54","1,936.49",0.41%,"1,938.51",0.52%,89.7,"1,811",49.2,2.61%
17.3.2024,9:59:52,W,"1,884.16","1,887.29",0.17%,"1,906.74",1.20%,69.3,"1,336",10.98,0.58%
14.3.2024,9:59:23,W,"1,899.56","1,898.27",0.07%,"1,884.16",0.81%,149.2,"1,986",15.71,0.82%
12.3.2024,9:59:35,W,"1,913.78","1,913.98",0.01%,"1,903.45",0.54%,178.1,"2,336",10.55,0.55%
10.3.2024,9:59:29,W,"1,939.44","1,924.53",0.77%,"1,918.79",1.06%,146.2,"2,006",28.4,1.45%
7.3.2024,9:59:28,W,"1,954.66","1,952.93",0.09%,"1,939.44",0.78%,187.7,"2,921",2.7,0.14%
5.3.2024,9:59:48,W,"1,960.69","1,955.63",0.26%,"1,947.22",0.69%,36.9,"1,386",21.04,1.09%
29.2.2024,9:59:19,W,"1,929.64","1,934.59",0.26%,"1,947.07",0.90%,51,"1,664",4.19,0.22%
26.2.2024,9:59:56,W,"1,938.36","1,938.78",0.02%,"1,942.93",0.24%,107.1,"2,271",33.47,1.76%
22.2.2024,9:59:37,M,"1,893.04","1,905.31",0.65%,"1,914.51",1.13%,675.1,"3,533",8.45,0.45%
20.2.2024,9:59:07,W,"1,898.67","1,896.86",0.10%,"1,899.46",0.04%,57.6,"1,238",31.84,1.71%
15.2.2024,9:59:25,W,"1,852.60","1,865.02",0.67%,"1,862.12",0.51%,42.7,"1,575",17.11,0.93%
13.2.2024,9:59:47,W,"1,842.94","1,847.91",0.27%,"1,853.14",0.55%,104.4,"1,901",15.78,0.86%
8.2.2024,9:59:32,W,"1,841.57","1,832.13",0.51%,"1,831.55",0.54%,57.6,"2,036",12.9,0.71%
6.2.2024,9:59:06,W,"1,819.17","1,819.23",0.00%,"1,837.41",1.00%,47.8,"1,342",2.81,0.15%
1.2.2024,9:59:15,W,"1,830.82","1,822.04",0.48%,"1,817.83",0.71%,82.4,"1,544",35.57,1.91%
30.1.2024,9:59:42,W,"1,858.51","1,857.61",0.05%,"1,839.55",1.02%,62.2,"1,721",25.59,1.40%
25.1.2024,9:59:33,M,"1,843.70","1,832.02",0.63%,"1,827.29",0.89%,"1,211.30","3,942",1.84,0.10%
23.1.2024,9:59:48,W,"1,842.38","1,830.18",0.66%,"1,832.40",0.54%,92.4,"1,829",14.65,0.81%
18.1.2024,9:59:39,W,"1,805.50","1,815.53",0.56%,"1,839.80",1.90%,43.8,"1,200",24.35,1.32%
16.1.2024,9:59:14,W,"1,848.05","1,839.88",0.44%,"1,824.73",1.26%,31.1,"1,301",21.17,1.14%
11.1.2024,9:59:01,W,"1,857.74","1,861.05",0.18%,"1,862.01",0.23%,32.5,"1,391",16.44,0.88%
9.1.2024,9:59:12,W,"1,870.77","1,877.49",0.36%,"1,862.22",0.46%,38.5,"1,199",0.79,0.04%
4.1.2024,9:59:16,W,"1,866.96","1,876.70",0.52%,"1,876.36",0.50%,34.7,"1,647",24.87,1.31%
2.1.2024,9:59:46,W,"1,895.16","1,901.57",0.34%,"1,885.04",0.53%,195.5,"2,404",39.43,2.12%
28.12.2023,9:59:25,M,"1,858.34","1,862.14",0.20%,"1,853.73",0.25%,957.3,"2,915",9.58,0.51%
26.12.2023,9:59:54,W,"1,867.00","1,871.72",0.25%,"1,838.83",1.51%,109.9,"1,249",18.03,0.97%
21.12.2023,9:59:27,W,"1,865.78","1,853.69",0.65%,"1,850.89",0.80%,58.9,"1,739",17.45,0.95%
19.12.2023,9:59:13,W,"1,829.91","1,836.24",0.35%,"1,840.23",0.56%,107.3,"1,600",24.15,1.33%
14.12.2023,9:59:56,W,"1,784.52","1,812.09",1.54%,"1,822.70",2.14%,68.5,"2,413",11.67,0.65%
12.12.2023,9:59:44,W,"1,792.92","1,800.42",0.42%,"1,783.15",0.54%,44.9,"1,541",4.53,0.25%
7.12.2023,9:59:26,W,"1,810.56","1,804.95",0.31%,"1,801.94",0.48%,40.8,"1,744",11.77,0.66%
5.12.2023,9:59:00,W,"1,789.85","1,793.18",0.19%,"1,807.00",0.96%,78.7,"1,891",3.48,0.19%
30.11.2023,9:59:54,W,"1,805.06","1,796.66",0.47%,"1,774.13",1.71%,112.1,"1,877",7.91,0.44%
28.11.2023,9:59:16,W,"1,783.64","1,788.75",0.29%,"1,790.29",0.37%,104.8,"1,648",2.44,0.14%
23.11.2023,9:59:10,M,"1,792.44","1,791.19",0.07%,"1,797.16",0.26%,902.3,"3,306",52.44,3.02%
21.11.2023,9:59:18,W,"1,735.48","1,738.75",0.19%,"1,749.09",0.78%,97.4,"1,550",34.48,2.02%
16.11.2023,9:59:12,W,"1,705.08","1,704.27",0.05%,"1,721.96",0.99%,87.5,"1,660",23.02,1.37%
14.11.2023,9:59:31,W,"1,669.12","1,681.25",0.73%,"1,701.48",1.94%,74.2,"1,547",38.43,2.23%
9.11.2023,9:59:31,W,"1,714.95","1,719.68",0.28%,"1,704.43",0.61%,99.4,"1,384",0.17,0.01%
7.11.2023,9:59:03,W,"1,702.56","1,719.51",1.00%,"1,728.11",1.50%,127.8,"2,241",48.89,2.93%
2.11.2023,9:59:05,W,"1,654.01","1,670.62",1.00%,"1,686.36",1.96%,94.1,"1,774",2.98,0.18%
31.10.2023,10:10:32,W,"1,653.01","1,667.64",0.89%,"1,646.85",0.37%,195.4,"2,092",66.46,4.15%
26.10.2023,9:59:43,M,"1,617.02","1,601.18",0.98%,"1,605.20",0.73%,"1,030.00","3,033",19.66,1.21%
24.10.2023,9:59:36,W,"1,614.96","1,620.84",0.36%,"1,621.43",0.40%,133.7,"2,217",70.19,4.15%
19.10.2023,9:59:01,W,"1,700.87","1,691.03",0.58%,"1,669.43",1.85%,124.4,"1,233",10.39,0.61%
17.10.2023,9:59:03,W,"1,692.50","1,701.42",0.53%,"1,689.60",0.17%,73.1,"1,792",36.19,2.08%
12.10.2023,9:59:00,W,"1,725.84","1,737.61",0.68%,"1,713.30",0.73%,80.7,"1,757",12.56,0.73%
10.10.2023,9:59:09,W,"1,728.49","1,725.05",0.20%,"1,749.27",1.20%,106,"2,742",108.95,5.94%
5.10.2023,9:59:43,W,"1,839.74","1,834.00",0.31%,"1,830.65",0.49%,171.7,"2,432",35.57,1.90%
3.10.2023,9:59:48,W,"1,872.53","1,869.57",0.16%,"1,858.13",0.77%,70.4,"1,824",37.76,2.06%
28.9.2023,9:59:00,M,"1,844.14","1,831.81",0.67%,"1,844.61",0.03%,703.3,"2,152",16.22,0.88%
26.9.2023,9:59:25,W,"1,860.38","1,848.03",0.66%,"1,834.80",1.37%,99.9,"2,178",14.43,0.77%
21.9.2023,9:59:19,W,"1,857.23","1,862.46",0.28%,"1,860.38",0.17%,147.2,"2,125",10.45,0.56%
19.9.2023,9:59:31,W,"1,843.00","1,852.01",0.49%,"1,839.03",0.22%,88.5,"2,186",11.72,0.64%
14.9.2023,9:59:02,W,"1,833.83","1,840.29",0.35%,"1,844.66",0.59%,94.6,"1,990",12.09,0.65%
12.9.2023,9:59:53,W,"1,845.13","1,852.38",0.39%,"1,848.91",0.20%,90.3,"1,690",24.52,1.34%
7.9.2023,9:59:05,W,"1,839.80","1,827.86",0.65%,"1,826.54",0.72%,109.1,"1,809",8.45,0.46%
5.9.2023,9:59:29,W,"1,832.08","1,836.31",0.23%,"1,846.14",0.77%,144.3,"2,210",3.98,0.22%
31.8.2023,9:59:14,W,"1,845.76","1,840.29",0.30%,"1,846.54",0.04%,77.9,"2,008",6.62,0.36%
29.8.2023,9:59:33,W,"1,846.28","1,833.67",0.68%,"1,835.37",0.59%,98.2,"2,698",23.84,1.28%
24.8.2023,9:59:29,M,"1,848.08","1,857.51",0.51%,"1,839.56",0.46%,"1,216.00","2,602",10.8,0.58%
22.8.2023,9:59:21,W,"1,842.53","1,846.71",0.23%,"1,853.86",0.61%,55.4,"2,088",5.5,0.30%
17.8.2023,9:59:40,W,"1,847.03","1,841.21",0.32%,"1,828.67",0.99%,102.3,"1,773",24.19,1.30%
15.8.2023,10:17:15,W,"1,856.45","1,865.40",0.48%,"1,853.54",0.16%,55.6,"1,511",17.1,0.91%
10.8.2023,9:59:30,W,"1,887.30","1,882.50",0.25%,"1,888.36",0.06%,63.3,"1,396",22.05,1.19%
8.8.2023,9:59:00,W,"1,872.41","1,860.45",0.64%,"1,860.55",0.63%,80.2,"1,739",0.45,0.02%
3.8.2023,9:59:35,W,"1,862.35","1,860.90",0.08%,"1,851.01",0.61%,120.1,"1,999",16.04,0.85%
1.8.2023,9:59:24,W,"1,871.26","1,876.94",0.30%,"1,861.67",0.51%,143.8,"1,511",28.63,1.55%
26.7.2023,10:06:35,M,"1,804.58","1,848.31",2.42%,"1,854.72",2.78%,"1,296.70","5,472",8.26,0.44%
25.7.2023,9:59:52,W,"1,860.85","1,856.57",0.23%,"1,804.58",3.02%,127.6,"1,998",52.09,2.73%
20.7.2023,9:59:11,W,"1,901.29","1,908.66",0.39%,"1,884.31",0.89%,283.5,"2,859",97.3,5.37%
18.7.2023,9:59:11,W,"1,805.12","1,811.36",0.35%,"1,845.84",2.26%,51,"1,482",1.7,0.09%
13.7.2023,9:59:58,W,"1,805.05","1,813.06",0.44%,"1,811.77",0.37%,141.6,"1,940",75.01,4.32%
11.7.2023,9:59:00,W,"1,752.71","1,738.05",0.84%,"1,770.20",1.00%,96.1,"1,913",29.6,1.67%
6.7.2023,9:59:54,W,"1,779.07","1,767.65",0.64%,"1,762.59",0.93%,93.6,"1,835",22.86,1.31%
29.6.2023,9:59:19,M,"1,750.60","1,744.79",0.33%,"1,749.22",0.08%,"1,143.20","3,736",32.83,1.85%
22.6.2023,9:59:28,W,"1,790.24","1,777.62",0.70%,"1,787.57",0.15%,133.4,"1,787",25.51,1.41%
15.6.2023,9:59:41,W,"1,805.98","1,803.13",0.16%,"1,820.10",0.78%,90.3,"1,494",24.46,1.38%
8.6.2023,9:59:29,W,"1,780.77","1,778.67",0.12%,"1,794.25",0.76%,161.7,"1,783",36.09,2.07%
1.6.2023,9:59:12,W,"1,744.92","1,742.58",0.13%,"1,729.35",0.89%,195.6,"1,959",40.35,2.26%
24.5.2023,10:01:28,M,"1,783.50","1,782.93",0.03%,"1,768.31",0.85%,911.4,"4,029",53.64,2.92%
18.5.2023,9:59:04,W,"1,825.84","1,836.57",0.59%,"1,825.50",0.02%,265.6,"1,761",29.13,1.61%
11.5.2023,9:59:23,W,"1,789.77","1,807.44",0.99%,"1,802.68",0.72%,321.5,"3,112",4.24,0.24%
4.5.2023,9:59:10,W,"1,793.87","1,803.20",0.52%,"1,784.38",0.53%,383.7,"2,216",74.65,4.32%
27.4.2023,9:59:50,M,"1,742.65","1,728.55",0.81%,"1,751.19",0.49%,826.4,"2,975",10.21,0.59%
20.4.2023,9:59:51,W,"1,726.83","1,718.34",0.49%,"1,712.47",0.83%,66.8,"1,938",36.75,2.09%
13.4.2023,9:59:24,W,"1,740.41","1,755.09",0.84%,"1,740.01",0.02%,121,"2,577",23.35,1.35%
4.4.2023,9:59:52,W,"1,741.11","1,731.74",0.54%,"1,741.91",0.05%,139,"2,045",11.65,0.67%
30.3.2023,10:06:00,M,"1,732.21","1,743.39",0.65%,"1,739.11",0.40%,981,"2,100",4.46,0.26%
23.3.2023,9:59:24,W,"1,748.55","1,747.85",0.04%,"1,779.43",1.77%,181.1,"2,136",32.83,1.91%
16.3.2023,9:59:31,W,"1,723.94","1,715.02",0.52%,"1,725.50",0.09%,275.9,"2,610",85.78,4.76%
9.3.2023,9:59:36,W,"1,788.16","1,800.80",0.71%,"1,799.32",0.62%,139.8,"2,003",69.68,4.03%
2.3.2023,9:59:57,W,"1,737.39","1,731.12",0.36%,"1,742.62",0.30%,134.3,"1,837",36.2,2.05%
23.2.2023,9:59:44,M,"1,760.01","1,767.32",0.42%,"1,747.43",0.71%,857,"2,483",61.15,3.34%
16.2.2023,9:59:13,W,"1,812.78","1,828.47",0.87%,"1,802.40",0.57%,173.8,"2,543",26.63,1.48%
9.2.2023,9:59:10,W,"1,797.38","1,801.84",0.25%,"1,781.40",0.89%,105.7,"1,694",21.42,1.17%
2.2.2023,9:59:16,W,"1,801.91","1,823.26",1.18%,"1,833.96",1.78%,141.7,"1,721",13.49,0.75%
26.1.2023,9:59:45,M,"1,798.95","1,809.77",0.60%,"1,782.24",0.93%,571,"2,199",37.84,2.05%
19.1.2023,9:59:56,W,"1,857.69","1,847.61",0.54%,"1,830.67",1.45%,86.8,"1,611",20.8,1.14%
12.1.2023,9:59:40,W,"1,817.14","1,826.81",0.53%,"1,820.38",0.18%,83.2,"1,546",35.51,1.98%
5.1.2023,10:27:19,W,"1,794.69","1,791.30",0.19%,"1,790.04",0.26%,89.3,"1,620",18.21,1.03%
29.12.2022,9:59:31,M,"1,787.44","1,773.09",0.80%,"1,796.92",0.53%,910.1,"3,128",33.41,1.85%
22.12.2022,9:59:03,W,"1,806.91","1,806.50",0.02%,"1,785.96",1.16%,32.4,"1,264",12.93,0.71%
15.12.2022,9:59:58,W,"1,838.18","1,819.43",1.02%,"1,820.54",0.96%,75.2,"2,213",7.44,0.41%
8.12.2022,9:59:47,W,"1,826.93","1,826.87",0.00%,"1,847.23",1.11%,158,"2,774",50.91,2.71%
1.12.2022,9:59:02,W,"1,849.17","1,877.78",1.55%,"1,874.88",1.39%,250.5,"1,766",2.66,0.14%
24.11.2022,9:59:33,M,"1,878.32","1,875.12",0.17%,"1,879.21",0.05%,"1,001.50","2,983",47.06,2.45%
17.11.2022,10:06:52,W,"1,921.93","1,922.18",0.01%,"1,885.09",1.92%,411.1,"2,600",9.49,0.50%
10.11.2022,10:06:03,W,"1,929.20","1,912.69",0.86%,"1,981.04",2.69%,272.9,"2,624",2.86,0.15%
3.11.2022,9:59:43,W,"1,943.02","1,915.55",1.41%,"1,914.47",1.47%,140.8,"2,082",23.39,1.21%
27.10.2022,9:59:52,M,"1,934.56","1,938.94",0.23%,"1,933.82",0.04%,528.8,"3,405",53.63,2.84%
20.10.2022,9:59:55,W,"1,892.01","1,885.31",0.35%,"1,887.95",0.21%,112.1,"1,517",31.72,1.71%
13.10.2022,9:59:29,W,"1,862.69","1,853.59",0.49%,"1,872.68",0.54%,106.2,"1,570",23.74,1.26%
